"ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
"",,"","","8641","TAS","R-HSA:168898","23643","gene-term","R-HSA:168898",,"Toll-like%20Receptor%20Cascades (gene-term) LY96","","","false","gene-term","Toll-like%20Receptor%20Cascades (gene-term) LY96","","","","","","R-HSA:168898 (gene-term) 23643"
"",,"","","8638","TAS","R-HSA:168898","2353","gene-term","R-HSA:168898",,"Toll-like%20Receptor%20Cascades (gene-term) FOS","","","false","gene-term","Toll-like%20Receptor%20Cascades (gene-term) FOS","","","","","","R-HSA:168898 (gene-term) 2353"
"",,"","","8635","TAS","R-HSA:168898","1432","gene-term","R-HSA:168898",,"Toll-like%20Receptor%20Cascades (gene-term) MAPK14","","","false","gene-term","Toll-like%20Receptor%20Cascades (gene-term) MAPK14","","","","","","R-HSA:168898 (gene-term) 1432"
"",,"","","8632","TAS","R-HSA:168898","1385","gene-term","R-HSA:168898",,"Toll-like%20Receptor%20Cascades (gene-term) CREB1","","","false","gene-term","Toll-like%20Receptor%20Cascades (gene-term) CREB1","","","","","","R-HSA:168898 (gene-term) 1385"
"",,"","","8629","TAS","R-HSA:168898","10695","gene-term","R-HSA:168898",,"Toll-like%20Receptor%20Cascades (gene-term) CNPY3","","","false","gene-term","Toll-like%20Receptor%20Cascades (gene-term) CNPY3","","","","","","R-HSA:168898 (gene-term) 10695"
"",,"","","8623","is_a:","","","term-term","term-term","2.0","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways (term-term-ontology) NOD1/2 Signaling Pathway","","POSITIVELY_REGULATES","false","term-term","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways (term-term-ontology) NOD1/2 Signaling Pathway","+","","","","","R-HSA:168643 (term-term-ontology) R-HSA:168638"
"",,"","","8620","kappa:0.77","","","term-term","term-term","0.7747379641144096","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways (term-term) NOD1/2 Signaling Pathway","","","false","term-term","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways (term-term) NOD1/2 Signaling Pathway","+","","","","","R-HSA:168643 (term-term) R-HSA:168638"
"",,"","","8617","is_a:","","","term-term","term-term","2.0","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways (term-term-ontology) Innate Immune System","POSITIVELY_REGULATES","","false","term-term","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways (term-term-ontology) Innate Immune System","+","","","","","R-HSA:168643 (term-term-ontology) R-HSA:168249"
"",,"","","8614","TAS","R-HSA:168643","7295","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) TXN","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) TXN","","","","","","R-HSA:168643 (gene-term) 7295"
"",,"","","8611","TAS","R-HSA:168643","6233","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) RPS27A","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) RPS27A","","","","","","R-HSA:168643 (gene-term) 6233"
