"ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
"",,"","","60020","is_a:","","","term-term","term-term","2.0","Antimicrobial peptides (term-term-ontology) Metal sequestration by antimicrobial proteins","","POSITIVELY_REGULATES","false","term-term","Antimicrobial peptides (term-term-ontology) Metal sequestration by antimicrobial proteins","+","","","","","R-HSA:6803157 (term-term-ontology) R-HSA:6799990"
"",,"","","60015","is_a:","","","term-term","term-term","2.0","Antimicrobial peptides (term-term-ontology) Innate Immune System","POSITIVELY_REGULATES","","false","term-term","Antimicrobial peptides (term-term-ontology) Innate Immune System","+","","","","","R-HSA:6803157 (term-term-ontology) R-HSA:168249"
"",,"","","59915","is_a:","","","term-term","term-term","2.0","Interleukin-2 family signaling (term-term-ontology) Interleukin-2 signaling","","POSITIVELY_REGULATES","false","term-term","Interleukin-2 family signaling (term-term-ontology) Interleukin-2 signaling","+","","","","","R-HSA:451927 (term-term-ontology) R-HSA:9020558"
"",,"","","59910","is_a:","","","term-term","term-term","2.0","Interleukin-2 family signaling (term-term-ontology) Signaling by Interleukins","POSITIVELY_REGULATES","","false","term-term","Interleukin-2 family signaling (term-term-ontology) Signaling by Interleukins","+","","","","","R-HSA:451927 (term-term-ontology) R-HSA:449147"
"",,"","","35806","kappa:0.66","","","term-term","term-term","0.6553545080375863","Signaling by the B Cell Receptor (BCR) (term-term) C-type lectin receptors (CLRs)","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) C-type lectin receptors (CLRs)","+","","","","","R-HSA:983705 (term-term) R-HSA:5621481"
"",,"","","35794","kappa:0.77","","","term-term","term-term","0.7713048967445216","Signaling by the B Cell Receptor (BCR) (term-term) CLEC7A (Dectin-1) signaling","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) CLEC7A (Dectin-1) signaling","+","","","","","R-HSA:983705 (term-term) R-HSA:5607764"
"",,"","","35791","kappa:0.41","","","term-term","term-term","0.40929056302409006","Signaling by the B Cell Receptor (BCR) (term-term) CLEC7A (Dectin-1) induces NFAT activation","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) CLEC7A (Dectin-1) induces NFAT activation","+","","","","","R-HSA:983705 (term-term) R-HSA:5607763"
"",,"","","35779","kappa:0.51","","","term-term","term-term","0.5098132508623768","Signaling by the B Cell Receptor (BCR) (term-term) FCERI mediated Ca+2 mobilization","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) FCERI mediated Ca+2 mobilization","+","","","","","R-HSA:983705 (term-term) R-HSA:2871809"
"",,"","","35776","kappa:0.72","","","term-term","term-term","0.7176575372968155","Signaling by the B Cell Receptor (BCR) (term-term) Fc epsilon receptor (FCERI) signaling","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Fc epsilon receptor (FCERI) signaling","+","","","","","R-HSA:983705 (term-term) R-HSA:2454202"
"",,"","","35773","kappa:0.41","","","term-term","term-term","0.40929056302409006","Signaling by the B Cell Receptor (BCR) (term-term) Calcineurin activates NFAT","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Calcineurin activates NFAT","+","","","","","R-HSA:983705 (term-term) R-HSA:2025928"
"",,"","","35770","kappa:0.52","","","term-term","term-term","0.5166301343752984","Signaling by the B Cell Receptor (BCR) (term-term) Downstream TCR signaling","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Downstream TCR signaling","+","","","","","R-HSA:983705 (term-term) R-HSA:202424"
"",,"","","35767","kappa:0.46","","","term-term","term-term","0.4574240479246903","Signaling by the B Cell Receptor (BCR) (term-term) TCR signaling","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) TCR signaling","+","","","","","R-HSA:983705 (term-term) R-HSA:202403"
"",,"","","35755","is_a:","","","term-term","term-term","2.0","Signaling by the B Cell Receptor (BCR) (term-term-ontology) Adaptive Immune System","POSITIVELY_REGULATES","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term-ontology) Adaptive Immune System","+","","","","","R-HSA:983705 (term-term-ontology) R-HSA:1280218"
"",,"","","35752","kappa:0.68","","","term-term","term-term","0.6831056314561804","Signaling by the B Cell Receptor (BCR) (term-term) Activation of NF-kappaB in B cells","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Activation of NF-kappaB in B cells","+","","","","","R-HSA:983705 (term-term) R-HSA:1169091"
"",,"","","35749","is_a:","","","term-term","term-term","2.0","Signaling by the B Cell Receptor (BCR) (term-term-ontology) Downstream signaling events of B Cell Receptor (BCR)","","POSITIVELY_REGULATES","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term-ontology) Downstream signaling events of B Cell Receptor (BCR)","+","","","","","R-HSA:983705 (term-term-ontology) R-HSA:1168372"
"",,"","","35746","kappa:0.88","","","term-term","term-term","0.8791575335938235","Signaling by the B Cell Receptor (BCR) (term-term) Downstream signaling events of B Cell Receptor (BCR)","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Downstream signaling events of B Cell Receptor (BCR)","+","","","","","R-HSA:983705 (term-term) R-HSA:1168372"
"",,"","","35743","TAS","R-HSA:983705","9491","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSMF1","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSMF1","","","","","","R-HSA:983705 (gene-term) 9491"
"",,"","","35740","TAS","R-HSA:983705","8945","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) BTRC","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) BTRC","","","","","","R-HSA:983705 (gene-term) 8945"
"",,"","","35737","IEA","R-HSA:983705","84876","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) ORAI1","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) ORAI1","","","","","","R-HSA:983705 (gene-term) 84876"
"",,"","","35734","TAS","R-HSA:983705","695","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) BTK","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) BTK","","","","","","R-HSA:983705 (gene-term) 695"
"",,"","","35731","TAS","R-HSA:983705","6850","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) SYK","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) SYK","","","","","","R-HSA:983705 (gene-term) 6850"
"",,"","","35728","TAS","R-HSA:983705","6233","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) RPS27A","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) RPS27A","","","","","","R-HSA:983705 (gene-term) 6233"
"",,"","","35725","TAS","R-HSA:983705","5970","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) RELA","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) RELA","","","","","","R-HSA:983705 (gene-term) 5970"
"",,"","","35722","TAS","R-HSA:983705","5966","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) REL","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) REL","","","","","","R-HSA:983705 (gene-term) 5966"
"",,"","","35719","TAS","R-HSA:983705","5720","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSME1","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSME1","","","","","","R-HSA:983705 (gene-term) 5720"
"",,"","","35716","TAS","R-HSA:983705","5695","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSMB7","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSMB7","","","","","","R-HSA:983705 (gene-term) 5695"
"",,"","","35713","TAS","R-HSA:983705","5689","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSMB1","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSMB1","","","","","","R-HSA:983705 (gene-term) 5689"
"",,"","","35710","TAS","R-HSA:983705","5579","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PRKCB","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PRKCB","","","","","","R-HSA:983705 (gene-term) 5579"
"",,"","","35707","TAS","R-HSA:983705","5532","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PPP3CB","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PPP3CB","","","","","","R-HSA:983705 (gene-term) 5532"
"",,"","","35704","TAS","R-HSA:983705","5530","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PPP3CA","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PPP3CA","","","","","","R-HSA:983705 (gene-term) 5530"
"",,"","","35701","TAS","R-HSA:983705","5295","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PIK3R1","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PIK3R1","","","","","","R-HSA:983705 (gene-term) 5295"
"",,"","","35698","TAS","R-HSA:983705","4775","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) NFATC3","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) NFATC3","","","","","","R-HSA:983705 (gene-term) 4775"
"",,"","","35695","TAS","R-HSA:983705","4773","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) NFATC2","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) NFATC2","","","","","","R-HSA:983705 (gene-term) 4773"
"",,"","","35692","TAS","R-HSA:983705","4772","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) NFATC1","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) NFATC1","","","","","","R-HSA:983705 (gene-term) 4772"
"",,"","","35689","TAS","R-HSA:983705","10197","gene-term","R-HSA:983705",,"Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSME3","","","false","gene-term","Signaling%20by%20the%20B%20Cell%20Receptor%20(BCR) (gene-term) PSME3","","","","","","R-HSA:983705 (gene-term) 10197"
"",,"","","35683","is_a:","","","term-term","term-term","2.0","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term-ontology) Class I MHC mediated antigen processing & presentation","POSITIVELY_REGULATES","","false","term-term","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term-ontology) Class I MHC mediated antigen processing & presentation","+","","","","","R-HSA:983170 (term-term-ontology) R-HSA:983169"
"",,"","","35680","kappa:0.42","","","term-term","term-term","0.4189483331424002","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) Interferon gamma signaling","","","false","term-term","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) Interferon gamma signaling","+","","","","","R-HSA:983170 (term-term) R-HSA:877300"
"",,"","","35677","kappa:0.49","","","term-term","term-term","0.4937113196246759","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) DAP12 interactions","","","false","term-term","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) DAP12 interactions","+","","","","","R-HSA:983170 (term-term) R-HSA:2172127"
"",,"","","35674","kappa:0.47","","","term-term","term-term","0.4715989229388403","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","","","false","term-term","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","+","","","","","R-HSA:983170 (term-term) R-HSA:198933"
"",,"","","35671","kappa:0.92","","","term-term","term-term","0.9222848737435657","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) Endosomal/Vacuolar pathway","","","false","term-term","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) Endosomal/Vacuolar pathway","+","","","","","R-HSA:983170 (term-term) R-HSA:1236977"
"",,"","","35668","kappa:0.49","","","term-term","term-term","0.49157979149959985","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) Antigen processing-Cross presentation","","","false","term-term","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) Antigen processing-Cross presentation","+","","","","","R-HSA:983170 (term-term) R-HSA:1236975"
"",,"","","35665","kappa:0.53","","","term-term","term-term","0.5308916019237887","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) ER-Phagosome pathway","","","false","term-term","Antigen Presentation: Folding, assembly and peptide loading of class I MHC (term-term) ER-Phagosome pathway","+","","","","","R-HSA:983170 (term-term) R-HSA:1236974"
"",,"","","35662","TAS","R-HSA:983170","6891","gene-term","R-HSA:983170",,"Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) TAP2","","","false","gene-term","Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) TAP2","","","","","","R-HSA:983170 (gene-term) 6891"
"",,"","","35659","TAS","R-HSA:983170","567","gene-term","R-HSA:983170",,"Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) B2M","","","false","gene-term","Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) B2M","","","","","","R-HSA:983170 (gene-term) 567"
"",,"","","35656","TAS","R-HSA:983170","3134","gene-term","R-HSA:983170",,"Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-F","","","false","gene-term","Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-F","","","","","","R-HSA:983170 (gene-term) 3134"
"",,"","","35653","TAS","R-HSA:983170","3133","gene-term","R-HSA:983170",,"Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-E","","","false","gene-term","Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-E","","","","","","R-HSA:983170 (gene-term) 3133"
"",,"","","35650","TAS","R-HSA:983170","3107","gene-term","R-HSA:983170",,"Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-C","","","false","gene-term","Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-C","","","","","","R-HSA:983170 (gene-term) 3107"
"",,"","","35647","TAS","R-HSA:983170","3106","gene-term","R-HSA:983170",,"Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-B","","","false","gene-term","Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-B","","","","","","R-HSA:983170 (gene-term) 3106"
"",,"","","35644","TAS","R-HSA:983170","3105","gene-term","R-HSA:983170",,"Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-A","","","false","gene-term","Antigen%20Presentation:%20Folding,%20assembly%20and%20peptide%20loading%20of%20class%20I%20MHC (gene-term) HLA-A","","","","","","R-HSA:983170 (gene-term) 3105"
"",,"","","35638","is_a:","","","term-term","term-term","2.0","Class I MHC mediated antigen processing & presentation (term-term-ontology) Adaptive Immune System","POSITIVELY_REGULATES","","false","term-term","Class I MHC mediated antigen processing & presentation (term-term-ontology) Adaptive Immune System","+","","","","","R-HSA:983169 (term-term-ontology) R-HSA:1280218"
"",,"","","35635","kappa:0.6","","","term-term","term-term","0.600618485854999","Class I MHC mediated antigen processing & presentation (term-term) Adaptive Immune System","","","false","term-term","Class I MHC mediated antigen processing & presentation (term-term) Adaptive Immune System","+","","","","","R-HSA:983169 (term-term) R-HSA:1280218"
"",,"","","35632","is_a:","","","term-term","term-term","2.0","Class I MHC mediated antigen processing & presentation (term-term-ontology) Antigen processing-Cross presentation","","POSITIVELY_REGULATES","false","term-term","Class I MHC mediated antigen processing & presentation (term-term-ontology) Antigen processing-Cross presentation","+","","","","","R-HSA:983169 (term-term-ontology) R-HSA:1236975"
"",,"","","35629","kappa:0.7","","","term-term","term-term","0.699022619380062","Class I MHC mediated antigen processing & presentation (term-term) Antigen processing-Cross presentation","","","false","term-term","Class I MHC mediated antigen processing & presentation (term-term) Antigen processing-Cross presentation","+","","","","","R-HSA:983169 (term-term) R-HSA:1236975"
"",,"","","35626","kappa:0.65","","","term-term","term-term","0.6527929901423885","Class I MHC mediated antigen processing & presentation (term-term) ER-Phagosome pathway","","","false","term-term","Class I MHC mediated antigen processing & presentation (term-term) ER-Phagosome pathway","+","","","","","R-HSA:983169 (term-term) R-HSA:1236974"
"",,"","","35623","TAS","R-HSA:983169","9978","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) RBX1","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) RBX1","","","","","","R-HSA:983169 (gene-term) 9978"
"",,"","","35620","TAS","R-HSA:983169","9903","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) KLHL21","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) KLHL21","","","","","","R-HSA:983169 (gene-term) 9903"
"",,"","","35617","TAS","R-HSA:983169","9902","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) MRC2","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) MRC2","","","","","","R-HSA:983169 (gene-term) 9902"
"",,"","","35614","TAS","R-HSA:983169","9491","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) PSMF1","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) PSMF1","","","","","","R-HSA:983169 (gene-term) 9491"
"",,"","","35611","TAS","R-HSA:983169","948","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) CD36","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) CD36","","","","","","R-HSA:983169 (gene-term) 948"
"",,"","","35608","TAS","R-HSA:983169","92912","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) UBE2Q2","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) UBE2Q2","","","","","","R-HSA:983169 (gene-term) 92912"
"",,"","","35605","TAS","R-HSA:983169","9246","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) UBE2L6","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) UBE2L6","","","","","","R-HSA:983169 (gene-term) 9246"
"",,"","","35602","TAS","R-HSA:983169","8945","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) BTRC","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) BTRC","","","","","","R-HSA:983169 (gene-term) 8945"
"",,"","","35599","TAS","R-HSA:983169","8673","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) VAMP8","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) VAMP8","","","","","","R-HSA:983169 (gene-term) 8673"
"",,"","","35596","TAS","R-HSA:983169","84676","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) TRIM63","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) TRIM63","","","","","","R-HSA:983169 (gene-term) 84676"
"",,"","","35593","TAS","R-HSA:983169","7317","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) UBA1","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) UBA1","","","","","","R-HSA:983169 (gene-term) 7317"
"",,"","","35590","TAS","R-HSA:983169","7174","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) TPP2","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) TPP2","","","","","","R-HSA:983169 (gene-term) 7174"
"",,"","","35587","TAS","R-HSA:983169","695","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) BTK","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) BTK","","","","","","R-HSA:983169 (gene-term) 695"
"",,"","","35584","TAS","R-HSA:983169","6923","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) ELOB","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) ELOB","","","","","","R-HSA:983169 (gene-term) 6923"
"",,"","","35581","TAS","R-HSA:983169","6891","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) TAP2","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) TAP2","","","","","","R-HSA:983169 (gene-term) 6891"
"",,"","","35578","TAS","R-HSA:983169","6280","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) S100A9","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) S100A9","","","","","","R-HSA:983169 (gene-term) 6280"
"",,"","","35575","TAS","R-HSA:983169","6279","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) S100A8","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) S100A8","","","","","","R-HSA:983169 (gene-term) 6279"
"",,"","","35572","TAS","R-HSA:983169","6233","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) RPS27A","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) RPS27A","","","","","","R-HSA:983169 (gene-term) 6233"
"",,"","","35569","TAS","R-HSA:983169","6047","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) RNF4","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) RNF4","","","","","","R-HSA:983169 (gene-term) 6047"
"",,"","","35566","TAS","R-HSA:983169","5720","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) PSME1","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) PSME1","","","","","","R-HSA:983169 (gene-term) 5720"
"",,"","","35563","TAS","R-HSA:983169","5695","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) PSMB7","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) PSMB7","","","","","","R-HSA:983169 (gene-term) 5695"
"",,"","","35560","TAS","R-HSA:983169","5689","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) PSMB1","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) PSMB1","","","","","","R-HSA:983169 (gene-term) 5689"
"",,"","","35557","TAS","R-HSA:983169","567","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) B2M","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) B2M","","","","","","R-HSA:983169 (gene-term) 567"
"",,"","","35554","TAS","R-HSA:983169","55294","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) FBXW7","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) FBXW7","","","","","","R-HSA:983169 (gene-term) 55294"
"",,"","","35551","TAS","R-HSA:983169","54850","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) FBXL12","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) FBXL12","","","","","","R-HSA:983169 (gene-term) 54850"
"",,"","","35548","TAS","R-HSA:983169","51465","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) UBE2J1","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) UBE2J1","","","","","","R-HSA:983169 (gene-term) 51465"
"",,"","","35545","TAS","R-HSA:983169","51088","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) KLHL5","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) KLHL5","","","","","","R-HSA:983169 (gene-term) 51088"
"",,"","","35542","TAS","R-HSA:983169","3134","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) HLA-F","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) HLA-F","","","","","","R-HSA:983169 (gene-term) 3134"
"",,"","","35539","TAS","R-HSA:983169","3133","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) HLA-E","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) HLA-E","","","","","","R-HSA:983169 (gene-term) 3133"
"",,"","","35536","TAS","R-HSA:983169","3107","gene-term","R-HSA:983169",,"Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) HLA-C","","","false","gene-term","Class%20I%20MHC%20mediated%20antigen%20processing%20&%20presentation (gene-term) HLA-C","","","","","","R-HSA:983169 (gene-term) 3107"
